mHiggs mTop log10gamma lmin
1.214000e+02 1.766000e+02 -3.633884e+00 -4.719278e-02
1.214000e+02 1.768000e+02 3.031437e+00 -4.852703e-02
1.214000e+02 1.770000e+02 9.356866e+00 -4.986557e-02
1.214000e+02 1.772000e+02 1.536771e+01 -5.120840e-02
1.214000e+02 1.774000e+02 2.108677e+01 -5.255554e-02
1.214000e+02 1.776000e+02 2.653473e+01 -5.390699e-02
1.214000e+02 1.778000e+02 3.173036e+01 -5.526464e-02
1.214000e+02 1.780000e+02 3.669074e+01 -5.662838e-02
1.214000e+02 1.782000e+02 4.143146e+01 -5.799657e-02
1.214000e+02 1.784000e+02 4.596674e+01 -5.936921e-02
1.214000e+02 1.786000e+02 5.030961e+01 -6.074633e-02
1.214000e+02 1.788000e+02 5.447204e+01 -6.212793e-02
1.214000e+02 1.790000e+02 5.846502e+01 -6.351565e-02
1.214000e+02 1.792000e+02 6.229865e+01 -6.491025e-02
1.214000e+02 1.794000e+02 6.598226e+01 -6.630947e-02
1.214000e+02 1.796000e+02 6.952448e+01 -6.771332e-02
1.214000e+02 1.798000e+02 7.293327e+01 -6.912182e-02
1.214000e+02 1.800000e+02 7.621601e+01 -7.053499e-02
1.216000e+02 1.700000e+02 -2.196444e+03 -5.058739e-03
1.216000e+02 1.702000e+02 -1.699574e+03 -6.256448e-03
1.216000e+02 1.704000e+02 -1.369671e+03 -7.457842e-03
1.216000e+02 1.706000e+02 -1.134828e+03 -8.662918e-03
1.216000e+02 1.708000e+02 -9.591968e+02 -9.871845e-03
