mHiggs mTop log10gamma lmin
1.212000e+02 1.716000e+02 -6.463607e+02 -1.322018e-02
1.212000e+02 1.718000e+02 -5.699829e+02 -1.442870e-02
1.212000e+02 1.720000e+02 -5.055384e+02 -1.564105e-02
1.212000e+02 1.722000e+02 -4.504363e+02 -1.685724e-02
1.212000e+02 1.724000e+02 -4.027851e+02 -1.807727e-02
1.212000e+02 1.726000e+02 -3.611713e+02 -1.930113e-02
1.212000e+02 1.728000e+02 -3.245177e+02 -2.052882e-02
1.212000e+02 1.730000e+02 -2.919885e+02 -2.176035e-02
1.212000e+02 1.732000e+02 -2.629257e+02 -2.299572e-02
1.212000e+02 1.734000e+02 -2.368042e+02 -2.423578e-02
1.212000e+02 1.736000e+02 -2.131999e+02 -2.548069e-02
1.212000e+02 1.738000e+02 -1.917662e+02 -2.672955e-02
1.212000e+02 1.740000e+02 -1.722175e+02 -2.798236e-02
1.212000e+02 1.742000e+02 -1.543163e+02 -2.923911e-02
1.212000e+02 1.744000e+02 -1.378628e+02 -3.049982e-02
1.212000e+02 1.746000e+02 -1.226887e+02 -3.176448e-02
1.212000e+02 1.748000e+02 -1.086508e+02 -3.303337e-02
1.212000e+02 1.750000e+02 -9.562632e+01 -3.430835e-02
1.212000e+02 1.752000e+02 -8.350958e+01 -3.558739e-02
1.212000e+02 1.754000e+02 -7.220914e+01 -3.687050e-02
1.212000e+02 1.756000e+02 -6.164540e+01 -3.815769e-02
1.212000e+02 1.758000e+02 -5.174875e+01 -3.944896e-02
1.212000e+02 1.760000e+02 -4.245810e+01 -4.074432e-02
1.212000e+02 1.762000e+02 -3.371962e+01 -4.204508e-02
1.212000e+02 1.764000e+02 -2.548560e+01 -4.335154e-02
1.212000e+02 1.766000e+02 -1.771373e+01 -4.466221e-02
1.212000e+02 1.768000e+02 -1.036630e+01 -4.597709e-02
1.212000e+02 1.770000e+02 -3.409492e+00 -4.729620e-02
1.212000e+02 1.772000e+02 3.186685e+00 -4.861953e-02
1.212000e+02 1.774000e+02 9.449707e+00 -4.994745e-02
1.212000e+02 1.776000e+02 1.540414e+01 -5.128257e-02
1.212000e+02 1.778000e+02 2.107214e+01 -5.262205e-02
1.212000e+02 1.780000e+02 2.647382e+01 -5.396590e-02
1.212000e+02 1.782000e+02 3.162749e+01 -5.531412e-02
1.212000e+02 1.784000e+02 3.654977e+01 -5.666672e-02
1.212000e+02 1.786000e+02 4.125587e+01 -5.802372e-02
1.212000e+02 1.788000e+02 4.575967e+01 -5.938831e-02
1.212000e+02 1.790000e+02 5.007392e+01 -6.075792e-02
1.212000e+02 1.792000e+02 5.421030e+01 -6.213206e-02
1.212000e+02 1.794000e+02 5.817956e+01 -6.351074e-02
1.212000e+02 1.796000e+02 6.199159e+01 -6.489396e-02
1.212000e+02 1.798000e+02 6.565553e+01 -6.628176e-02
1.212000e+02 1.800000e+02 6.917984e+01 -6.767665e-02
1.214000e+02 1.700000e+02 -3.936604e+03 -3.101116e-03
1.214000e+02 1.702000e+02 -2.681217e+03 -4.282024e-03
1.214000e+02 1.704000e+02 -2.001857e+03 -5.466679e-03
1.214000e+02 1.706000e+02 -1.576896e+03 -6.655080e-03
1.214000e+02 1.708000e+02 -1.286244e+03 -7.847224e-03
1.214000e+02 1.710000e+02 -1.075024e+03 -9.043108e-03
1.214000e+02 1.712000e+02 -9.146389e+02 -1.024273e-02
1.214000e+02 1.714000e+02 -7.887327e+02 -1.144609e-02
1.214000e+02 1.716000e+02 -6.872796e+02 -1.265318e-02
1.214000e+02 1.718000e+02 -6.037955e+02 -1.386401e-02
1.214000e+02 1.720000e+02 -5.339002e+02 -1.507892e-02
1.214000e+02 1.722000e+02 -4.745300e+02 -1.629848e-02
1.214000e+02 1.724000e+02 -4.234770e+02 -1.752187e-02
1.214000e+02 1.726000e+02 -3.791103e+02 -1.874910e-02
1.214000e+02 1.728000e+02 -3.401990e+02 -1.998016e-02
1.214000e+02 1.730000e+02 -3.057967e+02 -2.121506e-02
1.214000e+02 1.732000e+02 -2.751636e+02 -2.245379e-02
1.214000e+02 1.734000e+02 -2.477135e+02 -2.369635e-02
1.214000e+02 1.736000e+02 -2.229757e+02 -2.494275e-02
